image_name,captions
cat2_img99,a beach scene with the sun shining on the beach
cat2_img100,a body of water with a bunch of birds on top of it
cat3_img1,a bridge over a city with tall buildings
cat3_img2,a street filled with lots of cars and motorcycles
cat3_img3,a train on a train track at night
cat3_img4,a city at night with skyscrapers and traffic lights
cat3_img5,a street scene with a sign for a street vendor
cat3_img6,an overhead view of an airport with several rows of tables
cat3_img7,boats are docked in a harbor
cat3_img8,a brick wall with a bunch of pictures on it
cat3_img9,a cityscape of a city with tall buildings
cat3_img10,a city street filled with lots of parked bicycles
cat3_img11,a city street filled with lots of traffic
cat3_img12,a train is stopped at a train station
cat3_img13,a street filled with lots of shops and people
cat3_img14,a city street filled with lots of traffic
cat3_img15,a harbor filled with lots of boats on the water
cat3_img16,a man walking a dog on a leash on a city street
cat3_img17,a man standing next to a man on a skateboard
cat3_img18,a train traveling down tracks next to tall buildings
cat3_img19,a city with tall buildings and a clock tower
cat3_img20,a beach with palm trees and palm trees
cat3_img21,a city at night with tall buildings
cat3_img22,a night scene with neon lights and neon signs
cat3_img23,a double decker bus driving down a city street
cat3_img24,a building with a clock on the side of it
cat3_img25,a mural of a fire hydrant on the side of a road
cat3_img26,a large building with a lot of windows
cat3_img27,a dining room filled with tables and umbrellas
cat3_img28,a dark alleyway with a clock on the wall
cat3_img29,a man riding a skateboard at a skate park
cat3_img30,a large garden with a clock on the side of it
cat3_img31,a row of parked cars on a dirt road
cat3_img32,a large building with a clock on the ceiling
cat3_img33,a large photo of a city with a large clock on it
cat3_img34,a person riding a skateboard on top of a snow covered ground
cat3_img35,a city street filled with lots of traffic
cat3_img36,a beach with a large body of water
cat3_img37,a tall building with a clock on it
cat3_img38,a large building with a large number of people in it
cat3_img39,a large building with a clock on the side of it
cat3_img40,a small boat traveling through the water
cat3_img41,a large clock tower in the middle of a city
cat3_img42,a crowd of people watching a professional baseball game
cat3_img43,a large room filled with lots of tables and chairs
cat3_img44,a person walking on a path near a lake
cat3_img45,a crowd of people standing around a food stand
cat3_img46,a person in a pool jumping in the water
cat3_img47,bicycles are lined up in a row
cat3_img48,a car that is in the middle of a street
cat3_img49,a row of red fire trucks parked in front of a building
cat3_img50,a woman sitting on top of a wooden pole
cat3_img51,a crowd of people walking down a street
cat3_img52,a large crowd of people standing in a market
cat3_img53,a large group of people standing around a table
cat3_img54,a pile of trash sitting on the side of a street
cat3_img55,a large auditorium filled with people watching a performance
cat3_img56,a large building with a sign on top of it
cat3_img57,a shelf filled with lots of different types of items
cat3_img58,a large crowd of people walking down a street
cat3_img59,a parking lot filled with lots of parking meters
cat3_img60,a parking lot with a lot of cars parked in it
cat3_img61,a red fire hydrant sitting on the side of a road
cat3_img62,a police officer on a city street with a car
cat3_img63,a stone wall with a circle of stones around it
cat3_img64,a sign that is on the side of a building
cat3_img65,a man standing on top of an escalator next to a building
cat3_img66,people walking down a street with umbrellas
cat3_img67,a person standing in front of a fire hydrant spraying water
cat3_img68,people crossing a bridge over a river
cat3_img69,a railroad crossing with a train on the tracks
cat3_img70,two people are paddling a boat in the water
cat3_img71,a crowd of people walking down a street
cat3_img72,a man standing on a sidewalk next to a bus
cat3_img73,people standing on top of a beach
cat3_img74,a man on a skateboard taking a picture of himself
cat3_img75,a wall with a bunch of stickers on it
cat3_img76,a person riding a bike down a street
cat3_img77,a woman walking down a street with a bunch of flowers
cat3_img78,a man is selling fruit at a market
cat3_img79,a person walking down a walkway with an umbrella
cat3_img80,a large group of people standing on top of a dock
cat3_img81,a man throwing a frisbee at a crowd of people
cat3_img82,people walking down a sidewalk in front of a store
cat3_img83,a woman and a man riding a bike down a street
cat3_img84,a man standing in front of a food stand
cat3_img85,a large body of water with mountains
cat3_img86,a man standing in front of a graffiti covered wall
cat3_img87,a city at night with tall buildings
cat3_img88,a man and a woman on a skateboard in a building
cat3_img89,a large building with a clock on top of it
cat3_img90,a crowd of people walking down a street with umbrellas
cat3_img91,a city street filled with lots of traffic
cat3_img92,a car parked in a parking lot next to a tall building
cat3_img93,a large body of water with palm trees
cat3_img94,a city at night filled with lots of lights
cat3_img95,a large group of people standing on top of a lush green field
cat3_img96,young girls playing a game of frisbee
cat3_img97,people are waiting for the train to arrive
cat3_img98,boats are docked in the water
cat3_img99,a black and white photo of a train on tracks
cat3_img100,a crowd of people standing around a fire hydrant
cat4_img1,a woman holding a bouquet of flowers in her hand
cat4_img2,two women walking down a sidewalk near a tree
cat4_img3,two men in a kitchen preparing food
cat4_img4,a woman sitting at a table with a plate of food
cat4_img5,a row of men sitting on top of a building
cat4_img6,a man and a woman are painting a wall
cat4_img7,people sitting at a table with books
cat4_img8,two men standing next to each other on top of a building
cat4_img9,a man on a street with a fire hydrant
cat4_img10,a man flying through the air while holding an umbrella
cat4_img11,a black dog running through a grassy field
cat4_img12,a man working on a pizza in front of a fire hydrant
cat4_img13,a crowd of people watching a professional baseball game
cat4_img14,a man and a woman are looking at a camera
cat4_img15,a person riding a sheep on top of a lush green hillside
cat4_img16,a fireman is spraying water from a fire hydrant
cat4_img17,a blurry photo of people standing in a dark room
cat4_img18,two girls brushing their teeth in a park
cat4_img19,a man flying a kite on top of a sandy beach
cat4_img20,a man brushing his teeth in a bathroom
cat4_img21,people sitting around a living room playing video games
cat4_img22,a kitchen filled with lots of tables and chairs
cat4_img23,a man and a little girl riding on a bike
cat4_img24,a city street filled with lots of traffic
cat4_img25,a man working on a pipe in the middle of a construction site
cat4_img26,a little girl standing next to a woman in a kitchen
cat4_img27,a man standing next to a table holding a hot dog
cat4_img28,people sitting at a table with plates of food
cat4_img29,people playing a game on the nintendo wii
cat4_img30,a little girl and a little boy standing next to each other
cat4_img31,a woman sitting at a table in a kitchen
cat4_img32,a man holding a baby in front of a christmas tree
cat4_img33,young children playing a game of frisbee
cat4_img34,people sitting on a bench with a laptop
cat4_img35,a girl reading a book to a little girl on a bed
cat4_img36,a person laying on the ground with an open suitcase
cat4_img37,a red and white truck driving down a dirt road
cat4_img38,a woman standing on top of a sandy beach
cat4_img39,people with umbrellas in a field
cat4_img40,three men are sitting on a train platform
cat4_img41,a man riding a wave on top of a surfboard
cat4_img42,a body of water filled with lots of birds
cat4_img43,a man standing in front of a wall next to a tunnel
cat4_img44,a man sitting in front of a drum machine
cat4_img45,a pair of men playing a game of tennis
cat4_img46,three people in a kitchen preparing food
cat4_img47,a man is painting a pot on a table
cat4_img48,people sitting around a table
cat4_img49,a woman standing in front of a wall with a group of men
cat4_img50,a man and a woman working on a project together
cat4_img51,a man sitting at a desk working on a computer
cat4_img52,young people playing a video game
cat4_img53,two people walking on the beach with their luggage
cat4_img54,people walking around a sandy beach
cat4_img55,a number of people on a grassy area with a fence
cat4_img56,a woman is tending to a flock of sheep
cat4_img57,a person sitting on a bench next to a pond
cat4_img58,men standing around a dirt road
cat4_img59,a person walking down a snow covered slope
cat4_img60,a woman is walking down the street with a bike
cat4_img61,a crowd of people standing around a room
cat4_img62,a man standing next to a woman in a room
cat4_img63,a number of people on a row boat in the water
cat4_img64,people walking on a beach
cat4_img65,a number of women sitting at a table in front of a mirror
cat4_img66,a person is lighting candles on a cake
cat4_img67,a woman standing in a kitchen preparing food
cat4_img68,two people in a field with a bunch of green plants
cat4_img69,a man standing next to another man on a rock
cat4_img70,a man in a kitchen preparing food on a stove
cat4_img71,a man standing in front of a mirror brushing his teeth
cat4_img72,a large group of people sitting in a large room
cat4_img73,a man riding a bike down a road next to a herd of sheep
cat4_img74,a man standing on top of a bed next to a suitcase
cat4_img75,a number of animals in the snow
cat4_img76,a person using a pair of scissors to cut a piece of paper
cat4_img77,people standing around a christmas tree
cat4_img78,a person standing on top of a sandy beach
cat4_img79,a man milking a cow in a barn
cat4_img80,a woman standing next to a wooden fence near a garden
cat4_img81,a man taking a picture of himself in a mirror
cat4_img82,a woman cutting a cake with a knife
cat4_img83,a man standing on a beach next to a body of water
cat4_img84,a man is cutting wood on a table
cat4_img85,a person holding a cell phone in their hand
cat4_img86,a woman is eating a piece of food
cat4_img87,a man holding a white frisbee in a kitchen
cat4_img88,a woman in a white dress holding a sign
cat4_img89,a small plane is parked on the tarmac
cat4_img90,a man sitting on a book shelf reading a book
cat4_img91,a man is standing in the snow with a snowboard
cat4_img92,a man in a white shirt is working on a computer
cat4_img93,a crowd of people watching a race on a race track
cat4_img94,a large group of people sitting around a tree
cat4_img95,young men standing on top of a soccer field
cat4_img96,a large group of uniformed men in uniform on a street
cat4_img97,a woman standing in front of a grocery store filled with fruits and vegetables
cat4_img98,a girl sitting on the ground next to a trash can
cat4_img99,a woman in a red dress standing in front of a group of people
cat4_img100,a man in a hat is working on a pipe
cat9_img1,a woman jumping in the air to catch a frisbee
cat9_img2,a pool of water with people in it
cat9_img3,a baseball player is running to catch a ball
cat9_img4,a swimming pool with two people in it
cat9_img5,a number of horses racing on a track
cat9_img6,a professional baseball game being played on a field
cat9_img7,a young man holding a basketball in his hands
cat9_img8,a man in a red and white uniform kicking a soccer ball
cat9_img9,a person riding a surfboard on top of a body of water
cat9_img10,a man standing on top of a field holding a baseball bat
cat9_img11,a man holding a tennis racket on a field
cat9_img12,young men playing a game of soccer
cat9_img13,young men standing on top of a soccer field
cat9_img14,a man is playing a game of frisbee
cat9_img15,two men standing next to each other on a field
cat9_img16,a man in a swimsuit in the middle of a pool
cat9_img17,bicyclists are riding down the street
cat9_img18,a number of people playing a game of soccer
cat9_img19,a woman in a pink dress is playing a game
cat9_img20,young men playing a game of frisbee
cat9_img21,a person walking on a sidewalk with a surfboard
cat9_img22,a person riding a rock on top of a mountain
cat9_img23,a man jumping up into the air on top of a rock
cat9_img24,a person riding a motorcycle on a race track
cat9_img25,a man in a red shirt is on a red and white checkered
cat9_img26,a woman jumping high in the air on a skateboard
cat9_img27,a person jumping in the air on a dirt bike
cat9_img28,a large building with a lot of lights on it
cat9_img29,a large group of people in a large auditorium
cat9_img30,a man is standing in front of a large window
cat9_img31,two young men standing next to each other on a stage
cat9_img32,a man on a field with a baseball bat
cat9_img33,a man jumping up into the air with a skateboard
cat9_img34,a baseball player pitching a ball on top of a field
cat9_img35,young men playing a game of basketball
cat9_img36,three girls are posing for a picture in a soccer game
cat9_img37,a young boy kicking a soccer ball on a field
cat9_img38,a man in a bathing suit is sitting on the floor
cat9_img39,young men playing a game of soccer
cat9_img40,a woman swinging a baseball bat at a ball
cat9_img41,a woman riding a surfboard on top of a wave
cat9_img42,a team of baseball players standing on a field
cat9_img43,a man riding a snowboard on top of a snow covered slope
cat9_img44,young women playing a game of frisbee
cat9_img45,a man on a court with a tennis racket
cat9_img46,a man in a diving suit is doing a trick on a boat
cat9_img47,a man and a woman playing a game of frisbee
cat9_img48,a man swinging a baseball bat at a ball
cat9_img49,a young man riding a skateboard down a street
cat9_img50,a man with a beard is sitting on a table
cat9_img51,a man walking down a dirt road next to trees
cat9_img52,a man holding a tennis racquet on top of a tennis court
cat9_img53,a man and a woman are sitting on the floor
cat9_img54,a man flying through the air while riding a skateboard
cat9_img55,a man and woman playing frisbee on a beach
cat9_img56,a woman jumping on top of a box on top of a stage
cat9_img57,a man flying through the air while riding a skateboard
cat9_img58,a man is walking on the grass with a skateboard
cat9_img59,a man in a blue shirt is playing a game on the nintendo w
cat9_img60,a basketball court with a basketball in it
cat9_img61,young men standing on top of a field
cat9_img62,a man riding a dirt bike on top of a dirt field
cat9_img63,a woman standing on a surfboard on a beach
cat9_img64,a man is playing soccer on the beach
cat9_img65,a crowd of people watching a baseball game
cat9_img66,a young man is playing a game of basketball
cat9_img67,a young man kicking a soccer ball on a field
cat9_img68,a woman kicking a soccer ball on a field
cat9_img69,a jockey riding a horse on a track
cat9_img70,a man with a helmet on holding a bike
cat9_img71,a man on a skateboard in the air
cat9_img72,a person is flying a kite in the air
cat9_img73,a man that is kneeling down in the dirt
cat9_img74,a man riding a motorcycle on a race track
cat9_img75,a man is running with a football in his hand
cat9_img76,young men playing a game of soccer
cat9_img77,young men playing a game of soccer
cat9_img78,a man riding on the back of a brown horse
cat9_img79,a man riding on the back of a brown horse
cat9_img80,a woman in a wet suit holding a surfboard
cat9_img81,a man riding on the back of a brown horse
cat9_img82,a man holding a camera in his right hand
cat9_img83,a crowd of people watching a professional baseball game
cat9_img84,men standing on top of a field
cat9_img85,a woman standing on top of a lush green field
cat9_img86,a small boat in the middle of a river
cat9_img87,a man riding a bike down a street
cat9_img88,a baseball player pitching a ball on a field
cat9_img89,young men playing a game of soccer
cat9_img90,a soccer player kicking a soccer ball on a field
cat9_img91,soccer players are playing soccer on a field
cat9_img92,young men playing a game of soccer
cat9_img93,a little girl standing on top of a blue floor
cat9_img94,a woman is water skiing on a lake
cat9_img95,a stadium filled with lots of fans watching a game
cat9_img96,a person on a snowboard jumping over a snow covered slope
cat9_img97,a person on skis in the snow
cat9_img98,a large group of people standing in front of a crowd
cat9_img99,a woman holding a surfboard in front of a crowd of people
cat9_img100,a man kicking a soccer ball on a field
cat10_img1,a painting of a tree filled with lots of leaves
cat10_img2,a painting of a woman sitting on a bench
cat10_img3,a painting of a woman sitting on a bench
cat10_img4,two red fire hydrants sitting next to each other
cat10_img5,a person wearing a white hat with a white stripe on it
cat10_img6,a statue of a man standing on top of a tall building
cat10_img7,a woman sitting next to a statue of a man
cat10_img8,a woman sitting on top of a wooden chair
cat10_img9,a statue of a man in front of a building
cat10_img10,a statue of a bird sitting on top of a body of water
cat10_img11,a large group of people standing in front of a large building
cat10_img12,a graffiti covered wall with graffiti on it
cat10_img13,a person holding a piece of food in their hand
cat10_img14,two men dressed in costume fighting each other
cat10_img15,a statue of a frog sitting on top of a table
cat10_img16,a painting of a bird on the side of a building
cat10_img17,a painting of a man holding a skateboard
cat10_img18,a large window with a picture of a woman on it
cat10_img19,a pile of blue and yellow fabric sitting on top of a table
cat10_img20,a woman standing next to a statue of a woman
cat10_img21,a person cutting a piece of paper with scissors
cat10_img22,a painting of a kite in the shape of a fish
cat10_img23,a black and white photo of a black and white vase
cat10_img24,a blue and white skateboard sitting on top of a table
cat10_img25,a large stairway with a clock on it
cat10_img26,a man with a tattoo on his face
cat10_img27,a painting of a group of people in a room
cat10_img28,a blurry photo of a man with a tattoo on his face
cat10_img29,a collage of photos of a painting of a person
cat10_img30,a painting of a painting of a tree
cat10_img31,a statue of a man sitting on top of a stone wall
cat10_img32,a statue of a man standing on top of a white plate
cat10_img33,a statue of a man in a mask
cat10_img34,a pile of teddy bears sitting on top of each other
cat10_img35,a statue of a man standing next to a statue of a woman
cat10_img36,a statue of a woman in a white dress
cat10_img37,a man with a hat is standing in front of a brick wall
cat10_img38,a person dressed up as a clown on a skateboard
cat10_img39,a woman standing in front of a large mural
cat10_img40,a person cutting a piece of cloth with a pair of scissors
cat10_img41,a large building with many statues around it
cat10_img42,a woman sitting on a chair holding a piece of cake
cat10_img43,a blurry photo of a red and white paint job
cat10_img44,a statue of a horse on top of a street
cat10_img45,a painting of a man on a skateboard
cat10_img46,a white statue of a white bear sitting on top of a white surface
cat10_img47,a man is looking at a painting on a wall
cat10_img48,a white vase sitting on top of a white table
cat10_img49,a woman standing next to a wall with statues
cat10_img50,a statue of a woman in front of a display
cat10_img51,a stuffed animal on a white surface
cat10_img52,a statue of a person sitting on a bench near a river
cat10_img53,a statue of a man on a skateboard
cat10_img54,three photos of a group of people on a path
cat10_img55,a painting of a group of animals on a wall
cat10_img56,a close up view of some plants in a green field
cat10_img57,a painting of a dead animal on a wall
cat10_img58,a large metal sculpture of a man sitting on top of a building
cat10_img59,a painting of a group of people in a room
cat10_img60,a statue of a man in a suit on top of a building
cat10_img61,a clock on the wall of a brick building
cat10_img62,a living room filled with furniture and a staircase
cat10_img63,a pile of old rusted paper on top of a wall
cat10_img64,a row of colorful and colorful colored umbrellas on a table
cat10_img65,a fire hydrant spewing water onto the ground
cat10_img66,a crowd of people standing in front of a fire hydrant
cat10_img67,a white statue of a white man in a black and white photo
cat10_img68,a large room with a large clock on the wall
cat10_img69,a woman holding a white object in her hand
cat10_img70,a woman standing in front of a wall holding a kite
cat10_img71,a blue and white umbrella sitting on top of a beach
cat10_img72,a sign that is on the side of a building
cat10_img73,a wall with graffiti painted on it
cat10_img74,a man is painting a mural on a wall
cat10_img75,a cup of coffee sitting on top of a coffee table
cat10_img76,a woman with a tattoo on her face
cat10_img77,a dimly lit room with a lit up wall
cat10_img78,a tall building with a sign on it
cat10_img79,a stuffed animal on a wall with graffiti on it
cat10_img80,a painting of a person holding a knife on a table
cat10_img81,a statue of a giraffe sitting on top of a tree
cat10_img82,a woman sitting on a chair in front of a table
cat10_img83,a white vase filled with flowers on top of a table
cat10_img84,a large clock on the side of a building
cat10_img85,a painting of a bunch of colorful items on a wall
cat10_img86,a birthday cake with a train on it
cat10_img87,a black and white photo of a clock on a wall
cat10_img88,a table topped with lots of different colored cupcakes
cat10_img89,a fire hydrant is lit up in the dark
cat10_img90,an overhead view of a large group of lights
cat10_img91,a person with a mask on
cat10_img92,a large group of colorful umbrellas hanging from a ceiling
cat10_img93,a blurry picture of a cat on a wall
cat10_img94,a man sitting on a wall with a skateboard
cat10_img95,a white object in the shape of a clock in a room
cat10_img96,a woman in a pink dress is blowing out her face
cat10_img97,a colorful flower arrangement on a wooden table
cat10_img98,an assortment of colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful colorful
cat10_img99,a black and white photo of a stair case
cat10_img100,a fighter jet flying through a cloudy sky
