image_name,captions
cat3_img1,a bridge over a river with a train going over it
cat3_img2,a large group of vehicles
cat3_img3,a trolley car is parked on a street
cat3_img4,a city at night with a view of the CN Tower
cat3_img5,a street scene with a sign that says 'no one'
cat3_img6,a crosswalk in a city at night
cat3_img7,a row of colorful buildings along a river
cat3_img8,an aerial view of a city in Colombia
cat3_img9,"the city of Sarajevo, with the mountains in the background"
cat3_img10,a group of people sitting at tables on a sidewalk
cat3_img11,a wet street in the city
cat3_img12,a group of people are walking on a subway platform
cat3_img13,a narrow alley in the old city of Jerusalem
cat3_img14,a street with a lot of people walking down it
cat3_img15,a harbor with boats docked in it
cat3_img16,a woman walking two dogs down a street
cat3_img17,two men playing guitar on the street
cat3_img18,a train on the tracks
cat3_img19,"the city of Bern, Switzerland"
cat3_img20,a row of palm trees
cat3_img21,the city skyline of Toronto at night
cat3_img22,a street filled with neon signs
cat3_img23,a red double-decker bus
cat3_img24,a street with a street sign
cat3_img25,a man painting a mural on the side of a building
cat3_img26,a large glass ceiling
cat3_img27,a restaurant with a view of the city at night
cat3_img28,a street with a stone wall and a street light
cat3_img29,a man riding a skateboard on a ramp
cat3_img30,the gardens at the castle of the duchess in Heidelberg
cat3_img31,a hill
cat3_img32,a large white staircase
cat3_img33,a coin on top of a building with a view of the city
cat3_img34,a man standing on top of a large stone structure
cat3_img35,a parking lot filled with lots of white buses
cat3_img36,a view of the beach and buildings in Surfers Paradise
cat3_img37,a black and white photo of buildings in the city
cat3_img38,a large building with a lot of people inside
cat3_img39,a narrow alley in the city of New York
cat3_img40,a boat with a yellow taxi sign on it
cat3_img41,a ferris wheel in a city at night
cat3_img42,a soccer stadium with a large crowd watching
cat3_img43,a large circular ceiling
cat3_img44,a person riding a bike on a trail next to a lake
cat3_img45,a group of people standing around a market
cat3_img46,swimmers in the pool
cat3_img47,a row of red bikes
cat3_img48,a white car is driving through a tunnel
cat3_img49,a fire station with fire trucks parked in front
cat3_img50,a group of people standing in a circle
cat3_img51,a crowd of people walking down a street
cat3_img52,a crowded room with people
cat3_img53,a man standing in a cemetery with a tower in the background
cat3_img54,a pile of trash on the sidewalk
cat3_img55,a large auditorium with a stage and a large screen
cat3_img56,a tall building with a Coca-Cola sign on top
cat3_img57,a window display with various items in it
cat3_img58,a group of people walking down a street holding signs
cat3_img59,a gas station at sunset
cat3_img60,a parking lot with a car parked in it
cat3_img61,a red fire hydrant with a chain around it
cat3_img62,a police officer directing traffic
cat3_img63,a manhole with a shield on it
cat3_img64,a phone booth with graffiti on it
cat3_img65,a man walking across a bridge over water
cat3_img66,a group of people walking down a street holding umbrellas
cat3_img67,a person standing in front of a fountain
cat3_img68,a train is coming under a bridge on a rainy day
cat3_img69,a street with a stop sign and a train crossing
cat3_img70,a man in a kayak paddling on a lake
cat3_img71,a group of people are walking down the street
cat3_img72,a group of people standing on the sidewalk
cat3_img73,a group of people playing volleyball on the beach
cat3_img74,a man sitting on a skateboard
cat3_img75,a wall covered with posters
cat3_img76,a person riding a bike on a bridge
cat3_img77,two people with baskets of flowers on their bikes
cat3_img78,a man pushing a cart of fruit down a street
cat3_img79,a man is walking down an escalator
cat3_img80,a large boat is docked at the dock
cat3_img81,a man juggles a ball while a crowd watches
cat3_img82,a couple of people walking in front of a restaurant
cat3_img83,a woman riding a bike down a street
cat3_img84,people walking through a busy street market
cat3_img85,a small island in the middle of a lake
cat3_img86,a man walking past a store with a large display of magazines
cat3_img87,"the skyline of Dubai, with the reflection of the buildings in the water"
cat3_img88,two people skating on an ice rink
cat3_img89,a clock on a building with a sky background
cat3_img90,a group of people standing around a market
cat3_img91,a roundabout intersection with a red stop sign
cat3_img92,a row of parked cars
cat3_img93,a beach with palm trees and people sitting at tables
cat3_img94,a bridge over a river
cat3_img95,"aerial view of the city of Cesky Krumlov, Czech Republic"
cat3_img96,a group of girls playing a game of basketball
cat3_img97,people on a subway train
cat3_img98,a canal with boats and buildings in the background
cat3_img99,a train track with a train in the middle
cat3_img100,people celebrating Holi festival
cat4_img1,a woman is placing flowers in a vase
cat4_img2,two people walking down a path under a tree
cat4_img3,two men in aprons preparing food in a kitchen
cat4_img4,a woman sitting at a table with a book and a cup
cat4_img5,a group of monks sitting on a stone wall
cat4_img6,two people painting a wall with blue tape
cat4_img7,three students studying in a library
cat4_img8,workers installing solar panels on the roof of a building
cat4_img9,a man washing his car in the street
cat4_img10,a fisherman casts his net at sunset on the Mekong River in Vietnam
cat4_img11,a dog running through a field with a stick in its mouth
cat4_img12,a man working on a tire in the streets of Nairobi
cat4_img13,a group of people standing on a stage
cat4_img14,a woman taking a picture of a man on a bus
cat4_img15,a woman riding a horse on a hill
cat4_img16,firefighters battle a fire at a home
cat4_img17,people dancing in a dark room with green lights
cat4_img18,two little girls brushing their teeth
cat4_img19,two children playing on the beach
cat4_img20,a man in a sweater is shaving his face in front of a mirror
cat4_img21,two boys sitting on the floor watching TV
cat4_img22,a group of people sitting in pews
cat4_img23,father teaching his daughter to ride a bicycle
cat4_img24,a highway with many cars on it
cat4_img25,two men working on a construction site
cat4_img26,a young girl in a yellow apron and a little boy in a blue apron
cat4_img27,a man grilling on a grill in the backyard
cat4_img28,a group of people sitting at a table with wine glasses
cat4_img29,a group of people in a dance class
cat4_img30,a family celebrating a first birthday with balloons and cones
cat4_img31,a woman sitting at a desk with a sewing machine
cat4_img32,a man and a little girl decorating a Christmas tree
cat4_img33,a group of children sitting on the floor reading books
cat4_img34,a group of people sitting on a bench with laptops
cat4_img35,a little girl reading a book on her bed
cat4_img36,a woman reading a newspaper on the stairs
cat4_img37,a man is driving a tractor in a field
cat4_img38,a woman kneeling down to plant a tree
cat4_img39,tea picking in Sri Lanka
cat4_img40,a group of men working on a train track
cat4_img41,a surfer is riding a wave in the ocean
cat4_img42,people snorkeling in the ocean
cat4_img43,a group of construction workers working on a building
cat4_img44,a man playing drums in a recording room
cat4_img45,two men in fencing gear practicing their moves
cat4_img46,a group of people in a kitchen preparing food
cat4_img47,a man is making a pottery pot
cat4_img48,a group of people sitting around a table
cat4_img49,two people in karate gear practicing karate
cat4_img50,two children playing with a robot
cat4_img51,a man sitting at a desk with a computer
cat4_img52,a group of children sitting on a couch
cat4_img53,a group of people standing on a beach
cat4_img54,people walking through a cave in the woods
cat4_img55,a man running in a race
cat4_img56,a woman feeding a dog
cat4_img57,a man sitting on the grass next to a pond
cat4_img58,a group of people working on a construction site
cat4_img59,a person walking down a snowy path in the mountains
cat4_img60,a woman walking down a street with a bicycle
cat4_img61,a man giving a presentation to a group of people
cat4_img62,a woman standing in a room with a large window
cat4_img63,a group of people rowing on a lake
cat4_img64,a group of people playing on the ice
cat4_img65,a group of children looking at a microscope
cat4_img66,a woman lighting a candle on a table
cat4_img67,a woman standing in a kitchen preparing food
cat4_img68,two people picking grapes in a vineyard
cat4_img69,two men with guitars
cat4_img70,a man in a kitchen using a laptop
cat4_img71,a man in a white shirt looking at his reflection in the mirror
cat4_img72,the orchestra of the church
cat4_img73,a group of people riding bikes down a dirt road
cat4_img74,a man ironing a shirt on an ironing board
cat4_img75,a person standing on a frozen waterfall
cat4_img76,a man using a cell phone
cat4_img77,people holding up lanterns in the dark sky
cat4_img78,a person standing on a beach with a kite
cat4_img79,a man milking a cow in a barn
cat4_img80,a man working in a garden
cat4_img81,a man with a beard and a gun
cat4_img82,a woman is decorating a cake with pink icing
cat4_img83,a group of people swimming in a pool
cat4_img84,a man in a plaid shirt and hat working on a piece of wood
cat4_img85,a man in a vest holding a small box
cat4_img86,a woman getting her teeth examined by a dentist
cat4_img87,a man in an apron making pizza
cat4_img88,a woman in a white coat writing on a whiteboard
cat4_img89,a man standing next to an airplane with a propeller
cat4_img90,a man sitting on a chair reading a book in a library
cat4_img91,a woman cleaning her car in the snow
cat4_img92,a laboratory with people working in it
cat4_img93,a black car driving down a street with people
cat4_img94,a couple sitting at a wedding ceremony under a tree
cat4_img95,a group of young men playing a game of basketball
cat4_img96,police officers march during a protest in New Delhi
cat4_img97,a woman and a man shopping in a grocery store
cat4_img98,two children drawing on the sidewalk
cat4_img99,a choir with a man in a red robe and a woman in a yellow robe
cat4_img100,a man working on a roof
cat9_img1,a man jumping in the air with a basketball
cat9_img2,a group of swimmers in a pool
cat9_img3,a man in a uniform
cat9_img4,two swimmers in a swimming pool
cat9_img5,a group of jockeys racing horses on a track
cat9_img6,a man in a red and white uniform
cat9_img7,a man holding a basketball in his hands
cat9_img8,a football player running with the ball
cat9_img9,a man sailing on a small sailboat
cat9_img10,a man taking a picture of a soccer game
cat9_img11,a man in a red shirt playing tennis
cat9_img12,a group of young men playing soccer on a field
cat9_img13,a group of young men standing on a soccer field
cat9_img14,a man sitting on the grass
cat9_img15,two men standing on a soccer field
cat9_img16,a group of swimmers in a pool
cat9_img17,a group of cyclists
cat9_img18,a football player running with the ball
cat9_img19,a group of women doing yoga with purple ribbons
cat9_img20,a man in a yellow shirt playing volleyball
cat9_img21,a man walking on the road with a skateboard
cat9_img22,a person climbing a rock on a mountain
cat9_img23,a woman doing yoga on the rocks
cat9_img24,a motorcycle rider on a track
cat9_img25,a man in a boxing ring
cat9_img26,a woman jumping over a hurdle
cat9_img27,a man on a bike jumping off a rock
cat9_img28,the football stadium in Edmonton
cat9_img29,a boxing ring with a crowd of people watching
cat9_img30,a woman running on a treadmill
cat9_img31,a group of men standing around a boxing ring
cat9_img32,a boy playing cricket
cat9_img33,a man climbing on a wall with a helmet
cat9_img34,a young baseball player about to throw the ball
cat9_img35,a man wearing a red shirt
cat9_img36,a group of women in green jerseys
cat9_img37,a man kicking a soccer ball on a field
cat9_img38,a man in a wetsuit crouching on a surfboard
cat9_img39,a group of young people playing soccer on a field
cat9_img40,a girl swinging a bat at a softball game
cat9_img41,a woman in a black swimsuit surfing on a pink surfboard
cat9_img42,a group of young men standing on a soccer field
cat9_img43,a man on a snowboard
cat9_img44,a group of young women playing volleyball on a court
cat9_img45,a man kneeling on a track with a crowd watching
cat9_img46,a group of people sitting on a diving platform
cat9_img47,a man playing ping-pong with a ping-pong ball
cat9_img48,a man in a green shirt and shorts playing golf
cat9_img49,a man riding a skateboard down a street
cat9_img50,a man with a beard smiling
cat9_img51,a man riding a bike down a dirt road
cat9_img52,a man in a red shirt playing table tennis
cat9_img53,a wrestling match with a wrestler in the middle
cat9_img54,a man jumping over a concrete structure in a parking lot
cat9_img55,a group of people playing volleyball on a beach
cat9_img56,a woman doing a trick on a chair
cat9_img57,a man doing a trick on a skateboard
cat9_img58,a man kneeling on a golf course
cat9_img59,a man doing a pull-up exercise
cat9_img60,a basketball going through a hoop
cat9_img61,a group of people sitting on a field
cat9_img62,a person riding a dirt bike on a track
cat9_img63,a woman doing yoga on the beach
cat9_img64,a man in a blue shirt playing soccer
cat9_img65,a large crowd watching a soccer game
cat9_img66,a young man in a white uniform holding a basketball
cat9_img67,a young man kicking a soccer ball on a field
cat9_img68,a girl in an orange shirt
cat9_img69,a jockey riding a horse on a track
cat9_img70,a young boy holding a pair of skis
cat9_img71,a man in a helmet flying through the air
cat9_img72,a man suspended by a crane on the beach
cat9_img73,a man doing a deadlift exercise
cat9_img74,a person riding a motorcycle on a track
cat9_img75,a man running with a football on a field
cat9_img76,a group of young men playing soccer on a field
cat9_img77,a group of men playing a game of rugby
cat9_img78,a woman riding a horse in a pen
cat9_img79,a man riding a horse
cat9_img80,a woman in a bikini holding a surfboard
cat9_img81,a man falling off a horse in a rodeo
cat9_img82,a woman with a boxing glove on her head
cat9_img83,a large stadium filled with people
cat9_img84,a group of young men standing on a soccer field
cat9_img85,a man in a green shirt swinging a golf club
cat9_img86,a man in a kayak paddling down a river
cat9_img87,a man riding a bike down a street
cat9_img88,a baseball player running to first base
cat9_img89,two men playing soccer on a field
cat9_img90,a football player diving for a ball
cat9_img91,a group of men playing soccer on a field
cat9_img92,a group of young boys running on a track
cat9_img93,a little girl sitting on the floor in a room
cat9_img94,a man water skiing on a lake
cat9_img95,a stadium with a large green field
cat9_img96,a snowboarder jumping off a wooden bench
cat9_img97,a person in a red jacket skiing down a hill
cat9_img98,a large group of people running in a race
cat9_img99,a woman doing a barbell exercise
cat9_img100,a man wearing a blue shirt
cat10_img1,a painting of a blue and green abstract
cat10_img2,a painting of a woman sitting on a bench
cat10_img3,a woman sitting on a bench
cat10_img4,two red masks sitting in the grass
cat10_img5,a white statue with a black mask on it
cat10_img6,a statue of a woman holding a bird
cat10_img7,a woman sitting next to a sculpture of a man
cat10_img8,a person holding a plastic bag on a stool
cat10_img9,a statue of a man in a robe and hat
cat10_img10,two dolphins in the water
cat10_img11,The School of Athens painting
cat10_img12,a mural on a building in the city
cat10_img13,a hand holding a cone of ice cream
cat10_img14,two people in traditional costumes dancing
cat10_img15,a white bust of a woman with a yellow plastic bag on her head
cat10_img16,a mural on a wall
cat10_img17,a painting of a horse in a room
cat10_img18,stained glass window with a nativity scene
cat10_img19,a painting with blue and yellow paint
cat10_img20,a woman standing next to a statue of a man
cat10_img21,a person drawing with a pencil on paper
cat10_img22,watercolor waves clipart
cat10_img23,a statue of a horse with a long mane
cat10_img24,a small metal object on a bright orange background
cat10_img25,a spiral staircase with a clock on top
cat10_img26,a man wearing a mask standing in front of a wall
cat10_img27,raindrops on a window with blurred lights
cat10_img28,a painting of a man with glasses on a wall
cat10_img29,a painting of many different colored animals
cat10_img30,a dog painted on a wall with a cage
cat10_img31,a statue of Buddha sitting on a stone
cat10_img32,a statue of a man with a bird on his head
cat10_img33,a statue of a man with a hat on
cat10_img34,a pile of white masks with holes in them
cat10_img35,a statue of two people on top of a building
cat10_img36,a statue of a man with a crown on his head
cat10_img37,a statue of a man holding a book
cat10_img38,a toy figure standing on a wooden base
cat10_img39,a man walking past a large mural of a face
cat10_img40,a sculpture of a lion wearing a black mask
cat10_img41,a large column with paintings on it
cat10_img42,a woman sitting on a stool holding a baby
cat10_img43,a red and blue painting with a lot of paint
cat10_img44,a horse painted with a lot of paint
cat10_img45,a black and white photo of a shelf with a clock
cat10_img46,a white sculpture of a dog
cat10_img47,a woman looking at a painting on a wall
cat10_img48,three small white ceramic objects on a white surface
cat10_img49,a woman standing in front of a wall with statues
cat10_img50,a glass sculpture on display in a room
cat10_img51,a white hand on a red background
cat10_img52,a tree in the foreground of a sculpture
cat10_img53,a colorfully painted elephant on a blue platform
cat10_img54,a path with paintings on it
cat10_img55,a large group of hands covered in white paint
cat10_img56,a close-up of a green leaf
cat10_img57,a face seen in the wall of a building
cat10_img58,a close-up of a building with a large sculpture
cat10_img59,a colorful abstract painting
cat10_img60,a statue of Jesus
cat10_img61,a stained glass window with a picture of Jesus
cat10_img62,a staircase with a handrail at the top
cat10_img63,a black and white pattern with various shapes
cat10_img64,colorful fabric on display at a market in India
cat10_img65,a statue of a man with a horse in the dirt
cat10_img66,a black and white photo of several masks
cat10_img67,a white statue of a woman next to a wall
cat10_img68,a room with many statues in it
cat10_img69,a woman holding a piece of cake in her hands
cat10_img70,a woman standing in front of a rainbow-colored wall
cat10_img71,a sculpture on the beach with a blue sky
cat10_img72,a mural on the side of a building
cat10_img73,a wall with many hearts painted on it
cat10_img74,a man painting a wall with yellow paint
cat10_img75,a cup of coffee on a black table
cat10_img76,a woman with face paint
cat10_img77,a room with a neon light on the wall
cat10_img78,a large building with graffiti on it
cat10_img79,a cat with a tooth in its mouth
cat10_img80,a chair with a painting on it
cat10_img81,a wooden sculpture of a man with a beard
cat10_img82,a woman sitting on a chair in a room
cat10_img83,a white tablecloth
cat10_img84,a circular stained glass window
cat10_img85,a painting with a lot of paint on it
cat10_img86,a sticker with a comic-style word
cat10_img87,a clock drawn on a blackboard
cat10_img88,a tray of paint
cat10_img89,a person spinning fire in a circle
cat10_img90,a city with skyscrapers and snow falling
cat10_img91,a man with his face covered in gold and black paint
cat10_img92,a bunch of balloons
cat10_img93,a person's eye seen through a hole in a wall
cat10_img94,a man in a colorful suit standing on a wall
cat10_img95,a black and white photo of a light fixture
cat10_img96,a woman with purple smoke on her face
cat10_img97,a wooden table with a candle and flowers
cat10_img98,a group of paper boats on a table
cat10_img99,a spiral staircase with a glass window
cat10_img100,a black origami bird hanging from
