Image Name,Annotation 1 (Human - Ground Truth),Vit-Gpt2,BLIP(Conditional),BLIP (UNCONDITIONAL),GIT
31,"girl taking brush from Mason jar filled with pencils and brushes
",a person holding a pair of scissors in a kitchen,a photography of a woman painting on a table,a person is painting on a table,a person holding a jar filled with lots of money.
32,Small globe with a two glasses and a candle beside it,a table with a glass of wine and a candle,a photography of a table with a candle and a mirror,a table with a candle and a mirror,a table lamp with a candle and a glass of wine
33,Drawing tablet with a stylus and digital art on the screen,a person is using a calculator on a desk,a photography of a person writing on a tablet,a person is writing on a paper while sitting at a desk,a person holding a pen in their hand while sitting at a desk.
34,Cooking pot on a stove with steam rising,a kitchen sink filled with pots and pans,a photography of a cook preparing food in a restaurant kitchen,a person cooking food in a kitchen,a pot with a spoon and some food in it
35,Lamp illuminating a headphone and a laptop with tangled cord,a laptop computer sitting on top of a wooden desk,a photography of a desk with a laptop headphones and a lamp,a laptop computer and headphones on a desk,a laptop and headphones sitting on a desk.
36,Two people lying with boots and mountains in background,a man and a woman standing on top of a mountain,a photography of a couple sitting on a mountain,a person sitting on top of a mountain,a pair of brown boots sitting on a mountain top.
37,Travel journal with notes and photos lying around,a table topped with lots of different types of books,a photography of a photo album with a pen and a pen,a pile of polaroids and polaroids,a collection of photos and notes.
38,Chopping board with fresh herbs and a chef’s knife,a cutting board with some vegetables on it,a photography of a cutting board with fresh herbs and garlic,a cutting board with chopped herbs and garlic,a simple and simple way to add some fresh herbs to your kitchen.
39,A man using a hand sanitizer,a man holding a wii remote in his hand,a photography of a man pouring water into a glass,a man is pouring water into a glass,a man sitting at a table with his hand on his hand.
40,Pair of scissors and wrapping paper on a gift table with a girl in background,a person is cutting a piece of cloth on a table,a photography of a woman wrapping a Christmas present,a woman wrapping a Christmas present on a table,a woman is sitting at a table in a room with a red striped towel.
41,Many jackets hanging on the wall ,a large group of clothes hanging on a wall,a photography of a coat rack,a room with a bunch of coats hanging on the wall,a row of coats and jackets hanging on a rack.
42,Fountain pen on top of handwritten letters,a table topped with papers,a photography of a New Year's resolutions,"a desk with a note and pen, a cup of coffee, and a pen on it",a note with a message on it.
43,Pair of gloves with gardening tools on the floor,a pair of scissors and a toothbrush on the ground,a photography of a flower pot and gardening tools,a pot of plants and gardening tools on the ground,a potted plant with a pair of gloves and a pair of gloves.
44,Perfume bottle with a bouquet in the background,a vase filled with flowers on top of a table,a photography of a perfume bottle and flowers,a bottle of perfume sitting on top of a table,perfume - a fragrance for women
45,Art easel with a painting in progress,a painting of a person holding a vase on a table,a photography of a woman painting,a woman painting on a canvas,a painting of a flower in a pot
46,Suitcase half-packed with clothes spilling out beside a girl,a woman laying on the floor next to a suitcase,a photography of a woman packing clothes in a suitcase,a woman sitting on the floor with her luggage,a woman sitting in a suitcase filled with clothes.
47,Fluffy toy teddy bear above a small two seater car,a teddy bear sitting on top of a car,a photography of a teddy bear on top of a red Volkswagen Beetle,a teddy bear sitting on top of a car,a teddy bear is sitting on top of a car.
48,Ceramic teapot with steam rising and a plate of cookies on a table with a candle,a cup of coffee on a table next to a candle,a photography of a teacup and a book on a table,a table with a tea cup and a book,a cup of tea and a book on a table
49,Feather quill in an ink bottle next to an calligraphy letter,a pair of scissors sitting on top of a piece of paper,a photography of a pen ink and a candle,a pen and ink on a piece of paper,a pen and a pen on a sheet of paper
50,Wooden spoon in a mixing bowl with flour and ingredients,a spoon is filled with a mixture of ingredients,a photography of a spoon in a bowl of powder,a spoon full of powder and a wooden spoon full of powder,dry ingredients in a bowl
51,Mug with hot chocolate and marshmallows on table with decorations in background,a cupcake with sprinkles on top of it,a photography of a cup of hot chocolate with a snowman cookie on top,a cup of hot chocolate with a snowman on top,a cup of coffee with a cute little snowman on top.
52,Bookends holding books on a shelf,a stack of books on top of each other,a photography of books on a shelf,books on a shelf with a white sculpture,a row of books on a shelf
53,Wristband fitness tracker on a wrist holding a dumbbell,a person holding a pair of scissors,a photography of a hand holding a pair of orange dumbbells,a person holding a pair of orange dumbbells,hand holding a dumbbell with a black wristband
54,Electric toothbrush charging on a wall outlet,a person is holding a wii remote in their hand,a photography of a person holding a toothbrush,a person is holding a toothbrush in their hand,a hand holding a toothbrush with a plug in it
55,A vase of sunflower in the window sill beside a cat staring outside the window,a cat sitting on a window sill next to a flower vase,a photography of a cat and sunflowers,a cat laying on a window sill next to a vase of sunflowers,a cat laying on a window sill next to a vase of flowers.
56,A notebook with many picture beside a small plant next to it on a table,a collage of photos of a cat on a table,a photography of a flower arrangement,a photo album with flowers and photos,a bunch of photos on a notebook.
57,A man wearing a beanie and  headphones using a laptop in a train on a winter day,a woman wearing a hat on a bus,a photography of a woman wearing headphones on a train,a woman sitting on a train looking at her laptop,a man sitting on a bus with a laptop.
58,A toy ship above the world map on a table,a small boat floating on top of a sandy beach,a photography of a small boat on a map,a small boat on a map with a map in the background,a small toy boat on a map
59,Two monkeys sitting on a fence on top of the hill with valley in background,two dogs sitting on a fence looking at the camera,a photography of monkeys on a fence,two monkeys sitting on a fence looking out over the mountains,monkeys sitting on a fence
60,Wooden picnic table in a shade with lake and hills in background,a wooden bench sitting next to a body of water,a photography of a picnic table on the shore of Lake Champlain,picnic table at the lake,a picnic table with a picnic table on the shore.
61,A hand touching the snow on top of the car,a person holding a snowboard in the snow,a photography of a woman's hand reaching out of a car window in the snow,a person's hand reaches out from the hood of a car covered in snow,woman's hand on a car window covered with snow
62,Stethoscope on a table next to computer keyboard,a pair of scissors sitting on top of a wooden desk,a photography of a desk with a computer and a stethoscope,a black strap on a desk,a stethoscope is sitting on a table.
63,Candle holder with a lit candle in a dark room,a lit candle is lit on a table,a photography of two candles,three candles are lit in the dark,a pair of lit candles with a cat face on them.
64,"A full camera set with flash, tripod, lens, battery, mike, strap, filters disassembled in a table.",a variety of items are laid out on a table,a photography of a camera and other equipment,"a camera, a camera lens, and other accessories",the camera is now available for sale
65,Old phone with a rotary dial on a side table,a clock sitting on top of a table next to a mirror,a photography of a telephone,a telephone sitting on a table next to a wall,a small radio sitting on top of a table.
66,Broom and a plastic high chair leaning against a wall in a rustic room,a broken umbrella in the middle of a room,a photography of a broom and a chair,a broom and a chair in an old room,a black and white photo of a chair and a broom
67,A professional camera in a tripod with a street background,a man standing in front of a camera holding a camera,a photography of a man filming a video,a man is filming a movie on a trip,a camera on a tripod
68,Reusable grocery bags filled with fresh vegetables,a woman holding a bunch of fruit in her hand,a photography of a person holding a bag of fruit,a person holding a bag with fruit inside,a woman holding a bag of green vegetables
69,Tote bag with groceries and two mason jar of grains,a basket filled with fruits and vegetables on top of a table,a photography of a person holding a jar of food,a person holding a jar of food with a bag of vegetables,a basket of vegetables and oranges on a bed.
70,A man wearing sunglasses reading a newspaper with crosswords all over the page,a man holding a newspaper in his right hand,a photography of a boy reading a newspaper,a man reading a newspaper while sitting on a chair,a man reading a newspaper in a newspaper.
71,Two Teddy bear on a child’s bed,a white teddy bear sitting next to a pink teddy bear,a photography of two pink teddy bears,two stuffed animals sitting on top of a bed,pink teddy bears on a bed
72,Laundry basket full of freshly washed clothes,a bowl filled with lots of green and yellow stuff,a photography of a green bowl full of dirty laundry,a green bowl filled with dirty laundry,a pile of clothes in a bowl
73,A sewing station with threads hung in the board and a sewing machine in a table below it,a kitchen counter with a bunch of fruit on it,a photography of a sewing studio,a sewing machine and a mannequin on a table,a collection of crafting tools for sale
74,Collection of ceramic bowls and cups stacked on a kitchen shelf,a white bowl sitting on top of a counter top,a photography of a kitchen counter with dishes and cups,a shelf filled with bowls and plates,a counter with bowls and bowls on it.
75,Pair of earrings on a table next to fallen leaves,a pair of scissors sitting on top of a table,a photography of a pair of earrings,black and white earrings with pink beads,a pair of earrings with pink pearls and pearls
76,Hammock tied in a shade of a tree,a blanket on the ground next to a tree,a photography of a tree with a blanket wrapped around it,a blanket is tied to a tree in the middle of a field,a hammock between trees
77,A dog and a person wearing  yellow raincoat and  yellow rain boots,a woman with a dog on a leash next to a fire hydrant,a photography of a woman in yellow raincoats and black boots with her dog,a woman in yellow raincoat and boots with her dog,a man in a raincoat and boots with a dog
78,Pair of boots with mud on a doormat in stairs,a pile of broken shoes sitting on the ground,a photography of a woman sitting on the steps of a house in the old town,a man in a red shirt and a black hat,"a pair of old shoes on a wall in the old town of Varanasi, India."
79,Jar of seashells collected from the beach,a white bottle sitting on top of a sandy beach,a photography of a bottle on the beach,a bottle on the beach with a message,a bottle of water and a stone on the beach
80,Dartboard with darts in the middle of a game,a person is holding up a colorful fire hydrant,a photography of a man playing darts,a man is playing darts,a dart board with darts
81,A vintage scooter with a lot of stickers beside a countryside road,a motor scooter parked on the side of a road,a photography of a scooter beside a countryside road,a scissors scissors scissors scissors scissors scissors,a motorcycle parked on the side of a road.
82,Tablet on a dashboard of a car with navigation on,a person holding a cell phone in front of a car,a photography of a person using a GPS device,a person using a GPS device in the car,a hand points the screen on a tablet.
83,A chess board on a table with pieces scattered and a cup with ice tea in the board,a bowl of food on a table,a photography of a game of chess with a cup of tea,a game board with a cup of tea and carrots on it,a table with a chess board and a cup of tea.
84,Ironing board with clothes ready to iron and shirts hanging from the iron board,a pile of clothes on top of a table,a photography of a clothes rack with clothes on it,a clothes rack with clothes and a shirt on it,a table with a clothes rack and a clothes rack
85,Magnifying glass examining an old text ,a person reading a book on a cell phone,a photography of a book with a magnifying glass,a person holding a magnifying glass in their hand,a magnifying glass is seen through a magnifying glass.
86,A keychain with the key in a lock on a door,a black and white photo of a person holding a camera,a photography of a door handle,a door handle on a door,a key is held open to the door.
87,A fogged glass window on a rainy day with road and building view,a city street filled with lots of traffic,a photography of rain on a window,a view of a street through a window,a view from a window in a rain storm.
88,"An antique fan ,two radio and some flowers in an shelf of a rustic house",an old fashioned musical instrument sitting on top of a wooden table,a photography of a room with a fan and a table with a radio,a room with a fan and some old furniture,"a room with a radio, a fan, and other items."
89,Chalkboard with a list written on it,a sign that is on top of a table,a photography of a chalkboard with a chalkboard written on it,a blackboard with a chalkboard on it,a chalkboard with writing on it
90,Paintbrushes in a jar with splattered paint around,a pair of scissors sitting on top of a table,a photography of a paintbrush in a glass with paintbrushes,a glass filled with paint and brushes,a glass jar filled with pens and pencils.
91,vinyl record spinning on a record player,a black and white record player sitting on top of a table,a photography of a vinyl record player's turntable,a turntable turntable turntable turntable turntable,a record player on a table
92,A person using a singing bowl,a person holding a bowl with a knife in it,a photography of a person using a singing bowl,a woman is cooking a bowl with a spoon,a person pouring a bottle of wine into a bowl.
93,Hairdryer mounted on the wall next to a bathroom sink,a sink with a soap dispenser next to it,a photography of a bathroom with a red shutter,a bathroom with a sink and red shutters,a bathroom with a sink and a red shutter.
94,Pair of slippers next to a bed with a nightstand,a bed with a blanket and pillows on it,a photography of a bedroom with a bed and a rug,a bed with white sheets and pillows on it,a bedroom with a bed and a rug.
95,Bottle of essential oil next to scented candles,a glass vase sitting on top of a table,a photography of a perfume bottle with a candle and a glass,a bottle of perfume sitting on a table,a bottle of perfume sitting on a table.
96,A woman looking at the sea through a modern sophisticated binoculars,a woman taking a picture of herself in the mirror,a photography of a woman looking through a telescope,a woman looking through a telescope,woman looking through a telescope
97,Cosmetic bottles in a line in a table next to a vase,a white vase with flowers on a table,a photography of a marble table with a white vase and a bottle of body care products,a white vase with a bottle of liquid and body care products on a marble table,a beautiful white vase with a brush on top of it.
98,Potted cactus with a watering can next to it in a nursery table,a table topped with lots of gardening supplies,a photography of a garden table with gardening tools,a table with gardening tools and plants,a garden of plants and pots
99,Puzzle pieces of a world map mid-assembly on a table,a person cutting a piece of paper with scissors,a photography of a person making a puzzle,a person is making a puzzle,hands of a man working on a puzzle
100,A puppy with a ball attached to a string holding in its mouth,a dog playing with a frisbee in the grass,a photography of a puppy playing with a toy,a small dog is walking in the grass,a puppy holding a tennis ball in its mouth.
101,Sandy beach with driftwood and seashells at low tide,a pile of sand on the beach,a photography of a beach at sunset,a beach with shells and seaweed on the sand,a view of the beach at sunset.
102,Golden sunset over a mountain range with a river winding below,a mountain range with mountains in the distance,a photography of the Teton Range in the Teton Range Wilderness Teton Range,the sun shines on the mountains and valleys in the rocky valley,a city in the evening light
103,Tropical rainforest canopy with sunbeams filtering through,a tree filled with lots of green leaves,a photography of a rainforest in Costa Rica,a sunbeam in the rainforest,morning light in the jungle
104,Cactus plants under a bright desert sky,a tree filled with lots of green leaves,a photography of a cactus against a blue sky,a cactus plant with a blue sky in the background,a cactus plant against a blue sky.
105,Dew-covered spider web in a meadow at sunrise,a large flower in the middle of a field,a photography of a spider web in a field,a spider web in the middle of a field,spider web in the morning light
106,Tropical rainforest canopy with sunbeams filtering through,a herd of animals grazing on a lush green hillside,a photography of the sunrise over the hills in the San Valley,a sunrise over the hills,foggy sunrise over the hills
107,Mountain valley covered in wildflowers in spring,a view from the top of a mountain,a photography of a mountain with flowers in the foreground,a view of a mountain with flowers in the foreground,flowers in the mountains
108,Winding country road with tall trees lining both sides,a road that has some trees on it,a photography of a path lined with trees,a path through an orchard,a long road through a field of trees
109,Sunset over a lake with reeds in the foreground,a boat floating on top of a body of water,a photography of a lake at sunset,a wooden dock,sunset over the lake with a dock and wooden dock
110,Misty forest path with autumn leaves scattered around,a blurry photo of a forest filled with trees,a photography of a path in a forest,a path through a forest with fog,path through the woods in autumn
111,Waterfall cascading over moss-covered rocks in a forest,a river filled with lots of water and trees,a photography of a waterfall in the rainforest,a waterfall in the middle of a forest,a waterfall in the rainforest
112,Cliffside view with ocean waves crashing below,a large body of water surrounded by rocks,a photography of a cliff in Bali,a cliff with a small house on top of it,aerial view of the ocean
113,Snow-capped mountain peak reflected in a crystal-clear lake,a lake with mountains and a mountain range,a photography of the Matterhorn,a mountain with a lake in front of it,mountain reflected in a lake
114,Fog rolling over a cityscape from a high viewpoint,a large building with a large clock tower,a photography of the Flatiron building in the fog,a view of the city from a high-rise building in the fog,the fog was so thick that we could see the city
115,Dense pine forest with patches of sunlight peeking through,a forest filled with lots of trees and shrubs,a photography of a forest,a forest with lots of trees and some leaves,a forest with a lot of trees
116,Northern lights dancing in the sky over a snowy landscape,a large body of water with a mountain behind it,a photography of the Northern Lights over a lake in Norway,the aurora borealis in the night sky,the northern lights are reflected in the water.
117,Sand dunes with wind patterns etched into their surface,a sandy beach with a bunch of sandals on it,a photography of a desert,a person walking across a desert,the wind blows sand in this part of the beach at the ocean beach in San Francisco.
118,Sunrise over a peaceful meadow with a small pond,a grassy field with a lake and some trees,a photography of a small pond in the middle of a grassy meadow,a small pond in the middle of a grassy field,a small pond in the mountains
119,Field of lavender with a house in the middle under a bright blue sky,a field with a field with a field of flowers,a photography of a lavender field in Provence France,"lavender field in Provence, France",a barn in a field of lavender
120,Rocky beach with seagulls flying above,a flock of seagulls flying over a body of water,a photography of seagulls flying over the water,a group of birds flying over a body of water,a flock of seagulls flying over the ocean
121,Rugged canyon with a river winding through it,a mountain range with a bridge over it,a photography of the Grand Canyon in Grand Canyon National Park Utah,"the Grand Canyon, Colorado",a river runs through a canyon.
122,Mountain lake surrounded by pine trees and rocky peaks,a snowy mountain with a view of the ocean,a photography of a lake in the Canadian Rockies,a lake surrounded by trees and mountains,lake in the mountains with trees
123,Meadow with grazing deer at dawn,a lone animal standing in the middle of a grassy field,a photography of a deer in the mist,a deer standing in the middle of a forest,a dog standing in a field near a lake.
124,Abandoned lighthouse on a rocky shore,a lighthouse sitting on top of a rocky hillside,a photography of a lighthouse on a rocky shore,a lighthouse on a rocky shore,a lighthouse on a rock in the ocean.
125,Snow covering a village in a hill,a snowy mountain range with snow capped mountains,a photography of a ski resort in the mountains,a snowy town with a mountain in the background,a city in the winter
126,Golden wheat field with a lone tree in the distance,a herd of wildflowers in a field,a photography of a field of wheat,a field of wheat under a cloudy sky,a wheat field with a tree in the background
127,Eagles soaring over a mountainous cliff with cloud in background,a snowboarder flying through the air over a mountain,a photography of a bird flying over a mountain,a bird flying over a mountain range,a bird flying through the clouds
128,Hazy view of a mountain range during the golden hour,a mountain range with a sky background,a photography of the sun setting over the mountains in the Blue Ridge National Park,the sun sets over the mountains in the Blue Ridge area,the sun sets over the mountains
129,Ocean waves lapping gently at a sandy shore,a beach scene with the sun setting on the horizon,a photography of a beach,a beach with waves crashing on the sand,"the beach at sunset, with a view of the ocean"
130,Autumn forest with golden leaves falling,a forest filled with lots of trees and shrubs,a photography of autumn leaves falling from trees,autumn leaves falling from trees,autumn leaves on a road
131,Rock arch formation in the middle of a desert,a dirt road with a rock wall and mountains,a photography of a natural arch in Arches National Park,a large rock formation in the desert,tourist attraction in the desert
132,Old stone bridge over a river in a forest setting,a bridge over a river with a waterfall,a photography of the old stone bridge in the gorge of the river in autumn,the old stone bridge in the gorge of the river,bridge over a river in autumn
133,Winter scene with ice-covered branches and a frozen stream,a snow covered field with a river and trees,a photography of a snowy scene in the park,a river with snow-covered trees and a bridge,ducks swimming in a pond
134,Green valley with a winding river and distant mountains,a road that has a bunch of trees on it,a photography of the Fraser River,the Fraser River in British Columbia,a river running through a valley.
135,Foggy forest with a narrow dirt path winding through,a road that has some trees on it,a photography of a path in the mountains,a road with trees and a foggy sky,autumn landscape in the rain
136,Small wooden cabin in a snowy forest clearing,an old wooden cabin with a snow covered cabin,a photography of a cabin in the snow,a small cabin in the middle of a snowy forest,a cabin in the woods
137,Sunlight breaking through heavy rain clouds over a valley,a mountain range with a sky background,a photography of the sun rays coming through the clouds over the hills,a view of the mountains and clouds from a balcony,rays of sunlight breaking through the clouds
138,Grassland with a distant herd of wild horses,a herd of cattle grazing on a lush green hillside,a photography of horses in a field,a group of horses grazing in a grassy field,a group of horses running across a field.
139,Sunset over a rice field with water reflecting the light,a zebra standing on top of a lush green hillside,a photography of rice terraces in the rice fields,"rice terraces in the mountains of Sapa, Vietnam",the rice terraces of the valley
140,"Tall, slender trees in a forest with scattered wildflowers",a forest filled with lots of trees and shrubs,a photography of a bride and groom in the redwood forest,a bride and groom in the woods,a forest of biological species
141,Rolling hills with rows of vineyards ,a field filled with lots of green and yellow flowers,a photography of a vineyard in the Dordogne region of Burgundy France,a vineyard in the countryside of Alsace,vineyard on a sunny day
142,Mountain with a rainbow,a sky view of a sunset on a cloudy day,a photography of a rainbow in the sky,a rainbow appears over the Santa Catalina Mountains,a rainbow appears over a hill.
143,"Moon over a calm, forested pond with forest in background",a lake with a blue sky and a lighthouse,a photography of a moon over a lake,the sky is blue,moon over the frozen lake
144,Palm trees swaying in the wind by a beach,a bird perched on top of a palm tree,a photography of palm trees blowing in the wind,palm trees blowing in the wind,palm trees on the beach
145,Calm ocean with small boat and two men silhouetted by sunset,a small boat in the middle of the ocean,a photography of a fisherman in a boat at sunset,a man in a boat at sunset,silhouette of a man fishing on a boat at sunset
146,Park covered in snow with street lamps glowing,a park bench sitting in the middle of a park,a photography of a snowy night in the park,a bench in the snow with a street light,a green light in the snow
147,Misty mountain landscape with layers of peaks,a mountain range with a sky background,a photography of the mountains of the Douro in Portugal,a view of mountains and valleys from the top of a mountain,the mountains are seen from the top of the mountain.
148,A man in a Beach with a bonfire at sunset,a man standing on a beach with a fire hydrant,a photography of a couple dancing around a campfire at sunset,a man and woman dancing around a bonfire on the beach,a man dancing around a bonfire at sunset.
149,Path through a park lined with cherry blossom trees,a row of red and white flowers on a sidewalk,a photography of a cherry tree lined with pink blossoms,cherry trees in bloom along a road,cherry trees line a country road
150,Hikers on a mountain trail with breathtaking views,people standing on top of a dirt road,a photography of a group of people hiking in the mountains,a group of people walking on a dirt road,the hikers are heading up the mountain.
151,Sand dune with a line of camels and humans on top of them,a herd of horses running along a dirt road,a photography of camels in the Sahara,camel ride in the Sahara,a group of people riding camels through the desert
152,Savanna with acacia trees and a herd of zebras,a herd of zebra standing on top of a dry grass field,a photography of zebras in the desert,a group of zebras,a group of zebras in the background
153,Hot air balloons floating over a patchwork of farmland,a small bird flying over a field of grass,a photography of a hot air balloon in the sky,a hot air balloon flying over a green field,hot air balloons flying over the countryside
154,River delta with intricate waterways and vegetation,a rock wall with a bird perched on top of it,a photography of a river in the Kimberley,aerial view of the river,aerial view of the river and the road
155,Rain over a park with benches,two ducks are walking down a sidewalk near a bench,a photography of a park bench in the fog,a bench in the middle of a park,a park bench sitting on a brick walkway.
156,Birds flying over a field,a flock of birds flying over a field of grass,a photography of a flock of birds flying in the air,a flock of birds flying over a field,a flock of birds flying over a green field.
157,High mountain range with glaciers and rocky outcrops,a mountain range with snow capped mountains,a photography of a snowy mountain,a mountain covered in snow,the summit of Person in the clouds
158,A turtle swimming in front of a school of fish,a penguin standing on top of a pile of rocks,a photography of a turtle on the reef,a turtle swimming in the ocean,a turtle swimming in the ocean
159,Wetlands with reeds and water lilies blooming,a small pond with a bunch of pink flowers in it,a photography of lotus flowers in a pond,lotus flower in the water,water lilies in a pond
160,"A herd of Bison grazing in a vast, grassy plain",a herd of cattle grazing in a grassy field,a photography of a herd of bison grazing in a field,a herd of bison grazing in a grassy field,a bison stands in a field.
161,Man jumping in a natural underground pool inside a cave,a row of boats in the water near a rock wall,a photography of a man diving in a cave,a man diving in a lake with a boat,a young man dives into a cave at night.
162,Geyser erupting,a black and white photo of a black and white fire hydrant,a photography of a geyser in Yellowstone National Park,a large geyser in the middle of a field,geyser erupts in front of a geyser.
163,Rain over vast sunflower field,a sky filled with lots of colorful clouds,a photography of a sunflower field with a storm in the background,a large field of sunflowers under a stormy sky,a large field of sunflowers under a stormy sky
164,Dessert with wildflowers and cactus,a pile of flowers sitting on top of a rock,a photography of a cactus with a pink flower,a cactus with pink flowers in the desert,a cactus with pink flowers
165,Bamboo forest ,a tree filled with lots of trees next to a forest,a photography of bamboo trees in the forest,bamboo trees in the forest,bamboo forest in the mountains
166,Ice chunks on a frozen lake,a snowy landscape with a lake and mountains,a photography of a frozen lake in Norway,ice on the water in the middle of a lake,a frozen lake in the winter
167,Dense mangrove swamp ,a body of water filled with lots of small boats,a photography of a flooded river,a large pond surrounded by trees in the middle of a forest,aerial view of a swamp
168,Puddle reflecting the sky with birds,a body of water filled with lots of water,a photography of a puddle with birds flying in it,a bird flying over a puddle in the rain,a reflection of a building in a puddle of water.
169,Small lagoon with emerald green water surrounded by cliffs,a boat floating on top of a lush green hillside,a photography of a boat in the water in Halong Bay,a boat in the water near a cliff,a boat in the middle of a mountain
170,Tree roots exposed by erosion,a small tree in the middle of a forest,a photography of a tree growing on a rock,a tree with roots growing on a rock,a tree with exposed roots
171,Swans on a park lake,a flock of geese standing on top of a lush green field,a photography of two swans in a lake,two swans in a lake,swans on the grass by the lake
172,Cave entrance with sunlight,a large rock wall in the middle of a forest,a photography of a tunnel in Yosemite,a large rock formation with a hole in the middle,the entrance to the cave
173,Reeds swaying by a water body,a lake filled with lots of water next to a body of water,a photography of grass by the water,a bird is sitting on the grass by the water,tall grass by the lake
