image_name,conditional_image_captioning,unconditional_image_captioning
"['cat1_img47', 'jpeg']",a photography of a teddy bear on top of a red volkswagen beetle,a teddy bear sitting on top of a car
"['cat1_img9', 'jpg']",a photography of a bedside with a lamp and a plant,a lamp on a nightstand next to a bed
"['cat1_img92', 'jpeg']",a photography of a woman cooking a bowl of food,a woman is cooking a bowl with a spoon
"['cat1_img8', 'jpg']",a photography of a beach scene,summer beach background with palm leaves and sun hat
"['cat1_img84', 'jpeg']",a photography of a clothes rack with clothes on it,a clothes rack with clothes and a shirt on it
"['cat1_img7', 'jpeg']",a photography of clothes hanging on a clothesline,clothes hanging on a clothes line outside a house
"['cat1_img16', 'jpg']",a photography of a backpack on a tree stump,a backpack sitting on a tree stump in the woods
"['cat1_img85', 'jpeg']",a photography of a book with a magnite,a person holding a magni in their hand
"['cat1_img6', 'jpeg']",a photography of a man laying on the grass,a man laying on the grass
"['cat1_img93', 'jpeg']",a photography of a bathroom with a red shutter shutter,a bathroom with a sink and red shutters
"['cat1_img11', 'jpeg']",a photography of a book and a pen on a blanket,a book and a pen on a blanket
"['cat1_img17', 'jpg']",a photography of a cup of coffee on a stack of books,a cup of coffee sits on a stack of books
"['cat1_img46', 'jpeg']",a photography of a woman packing clothes in a suitcase,a woman sitting on the floor with her luggage
"['cat1_img31', 'jpeg']",a photography of a woman painting on a table,a person is painting on a table
"['cat1_img15', 'jpg']",a photography of a book and lamp,an open book on a table with a lamp
"['cat1_img89', 'jpeg']",a photography of a chalkboard with a chalkboard written on it,a blackboard with a chalk board on it
"['cat1_img66', 'jpeg']",a photography of a broom and a chair,a broom and a chair in an old room
"['cat1_img70', 'jpeg']",a photography of a boy reading a newspaper,a man reading a newspaper while sitting on a chair
"['cat1_img27', 'jpeg']",a photography of a camera on a table in front of a window overlooking the city of tokyo,a robot sitting on top of a building
"['cat1_img32', 'jpeg']",a photography of a table with a candle and a mirror,a table with a candle and a mirror
"['cat1_img65', 'jpeg']",a photography of a telephone,a telephone sitting on a table next to a wall
"['cat1_img73', 'jpeg']",a photography of a sewing studio,a sewing machine and a manne on a table
"['cat1_img24', 'jpeg']",a photography of a book held in a tree,a person holding a book in their hand
"['cat1_img69', 'jpeg']",a photography of a person holding a jar of food,a person holding a jar of food with a bag of vegetables
"['cat1_img86', 'jpeg']",a photography of a door handle,a door handle on a door
"['cat1_img90', 'jpeg']",a photography of a paintbrush in a glass with paintbrushs,a glass filled with paint and brushes
"['cat1_img28', 'jpeg']",a photography of a person playing a guitar,a person playing an electric guitar on a piano
"['cat1_img12', 'jpeg']",a photography of a kitchen with a bowl of pasta and a wooden spoon,a bowl of food on a counter in a kitchen
"['cat1_img45', 'jpeg']",a photography of a woman painting,a woman painting on a canvas
"['cat1_img44', 'jpeg']",a photography of a perfume bottle and flowers,a bottle of perfume sitting on top of a table
"['cat1_img13', 'jpeg']",a photography of three girls sitting on a couch,three girls sitting on a couch with remotes
"['cat1_img5', 'jpg']",a photography of a child playing with toys,a child playing with toys on the floor
"['cat1_img29', 'jpeg']","a photography of a map, compass, compass, and other items","a map, compass, and other items on a table"
"['cat1_img4', 'jpg']",a photography of a man's hand on a smart watch,a man driving a car with his hand on the steering
"['cat1_img91', 'jpeg']",a photography of a vinyl record player's turn,a turnable turnable turnable turnable turnable turnable turnable turnable turnable
"['cat1_img68', 'jpeg']",a photography of a person holding a bag of fruit,a person holding a bag with fruit inside
"['cat1_img87', 'jpeg']",a photography of rain on a window,a view of a street through a window
"['cat1_img48', 'jpeg']",a photography of a teacup and a book on a table,a table with a tea cup and a book
"['cat1_img25', 'jpeg']",a photography of a dark room with a door open,a room with a door and a window
"['cat1_img72', 'jpeg']",a photography of a green bowl full of dirty laundry,a green bowl filled with dirty laundry
"['cat1_img33', 'jpeg']",a photography of a person writing on a tablet,a person is writing on a paper while sitting at a desk
"['cat1_img38', 'jpeg']",a photography of a cutting board with fresh herbs and garlic,a cutting board with chopped herbs and garlic
"['cat1_img52', 'jpg']",a photography of books on a shelf,books on a shelf with a white sculpture
"['cat1_img3', 'jpeg']","a photography of a desk with a laptop, a notebook, a pen, a pen and a","a desk with a laptop, a phone and other items"
"['cat1_img80', 'jpeg']",a photography of a man playing darts,a man is playing darts on a dart
"['cat1_img79', 'jpeg']",a photography of a bottle on the beach,a bottle on the beach with a message
"['cat1_img96', 'jpeg']",a photography of a woman looking through a telescope,a woman looking through a telescope
"['cat1_img55', 'jpeg']",a photography of a cat and sunflowers,a cat laying on a window sie next to a vase of sunflowers
"['cat1_img14', 'jpeg']",a photography of candles in a church,candles in a church
"['cat1_img53', 'jpg']",a photography of a hand holding a pair of orange dumbs,a person holding a pair of orange dumbs
"['cat1_img43', 'jpeg']",a photography of a flower pot and gardening tools,a pot of plants and gardening tools on the ground
"['cat1_img34', 'jpeg']",a photography of a cook preparing food in a restaurant kitchen,a person cooking food in a kitchen
"['cat1_img51', 'jpg']",a photography of a cup of hot chocolate with a snowman cookie on top,a cup of hot chocolate with a snowman on top
"['cat1_img75', 'jpeg']",a photography of a pair of earrings,black and white earrings with pink beads
"['cat1_img22', 'jpeg']",a photography of a cat sitting on a chair,a black cat sitting on a chair in a window
"['cat1_img59', 'jpeg']",a photography of monkeys on a fence,two monkeys sitting on a fence looking out over the mountains
"['cat1_img18', 'jpeg']",a photography of a wall full of old and new items,a wall with many pictures and pictures on it
"['cat1_img50', 'jpg']",a photography of a spoonful bowl of powder,a spoon full of powder and a wooden spoon full of powder
"['cat1_img54', 'jpg']",a photography of a person holding a toothbrush,a person is holding a toothbrush in their hand
"['cat1_img19', 'jpeg']","a photography of a lamp, a clock and a book on a table","a lamp, a vase of flowers and a book on a table"
"['cat1_img58', 'jpeg']",a photography of a small boat on a map,a small boat on a map with a map in the background
"['cat1_img23', 'jpeg']",a photography of old radio radios,a shelf full of old radio's
"['cat1_img74', 'jpeg']",a photography of a kitchen counter with dishes and cups,a shelf filled with bowls and plates
"['cat1_img35', 'jpeg']","a photography of a desk with a laptop, headphones, and a lamp",a laptop computer and headphones on a desk
"['cat1_img42', 'jpeg']",a photography of a new year's resolutions,"a desk with a note and pen, a cup of coffee, and a pen on it"
"['cat1_img78', 'jpeg']",a photography of a woman sitting on the steps of a house in the old town of vardh,a man in a red shirt and a black hat
"['cat1_img97', 'jpeg']",a photography of a marble table with a white vase and a bottle of body care products,a white vase with a bottle of liquid and a bottle of body care products on a marble table
"['cat1_img2', 'jpeg']",a photography of a woman pouring tea into a cup,a woman pouring tea into a cup
"['cat1_img81', 'jpeg']",a photography of a sc sc sc sc sc sc sc sc sc sc sc sc sc sc sc,a sc sc sc sc sc sc sc sc sc sc sc sc sc sc sc sc sc sc
"['cat1_img39', 'jpeg']",a photography of a man pouring water into a glass,a man is pouring water into a glass
"['cat9_img5', 'jpg']",a photography of a horse race,a group of jockeys racing horses on a track
"['cat9_img94', 'jpg']",a photography of a man water skiing,a man is water skiing on a lake
"['cat9_img80', 'jpg']",a photography of a woman in the ocean,a woman in a bikini holding a surfboard
"['cat9_img57', 'jpg']",a photography of a skateboarder doing a trick,a man doing a trick on a skateboard
"['cat9_img43', 'jpg']",a photography of a snowboarder doing a trick,a man on a snowboard
"['cat9_img42', 'jpg']",a photography of a soccer team,a group of young men standing on a soccer field
"['cat9_img56', 'jpg']",a photography of a gymnast doing a trick,a woman is doing a trick on a chair
"['cat9_img81', 'jpg']",a photography of a cowboy falling off a horse,a man falling off a horse in a rodeo
"['cat9_img95', 'jpg']",a photography of a stadium,a stadium with a large green field
"['cat9_img4', 'jpg']",a photography of swimmers in a swimming pool,two swimmers in a swimming pool
"['cat9_img6', 'jpg']",a photography of a football player jumping in the air,a man in a red and white uniform
"['cat9_img83', 'jpg']",a photography of a soccer stadium with a huge circle of fans,a large stadium filled with people
"['cat9_img97', 'jpg']",a photography of a person skiing down a hill,a person in a red jacket skiing down a hill
"['cat9_img68', 'jpg']",a photography of a young girl playing soccer,a girl in an orange shirt
"['cat9_img40', 'jpg']",a photography of a girl playing softball,a girl swinging a bat at a softball game
"['cat9_img54', 'jpg']",a photography of a skateboarder doing a trick,a man jumping over a concrete structure in a parking lot
"['cat9_img55', 'jpg']",a photography of a beach volleyball match,a group of people playing volleyball on a beach
"['cat9_img41', 'jpg']",a photography of a woman surfing in the ocean,a woman in a black swimsuit surfing on a pink surfboard
"['cat9_img69', 'jpg']",a photography of a horse racing on a track,a jockey is riding a horse on a track
"['cat9_img96', 'jpg']",a photography of a snowboarder in the air,a snowboarder is jumping off a wooden bench
"['cat9_img82', 'jpg']",a photography of a woman wearing boxing gloves,a woman with a boxing glove on her head
"['cat9_img7', 'jpg']",a photography of a basketball player shooting a ball,a man holding a basketball ball in his hands
"['cat9_img3', 'jpg']",a photography of a football player throwing a ball,a man in a uniform
"['cat9_img86', 'jpg']",a photography of a man in a kayak in a river,a man in a kayak pad down a river
"['cat9_img92', 'jpg']",a photography of a group of young boys playing soccer,a group of young boys running on a track
"['cat9_img45', 'jpg']",a photography of a man kneeling on a track,a man kneeling on a track with a crowd watching
"['cat9_img51', 'jpg']",a photography of a man walking down a dirt road,a man riding a bike down a dirt road
"['cat9_img79', 'jpg']",a photography of a rodeo horse and a rider,a man riding a horse
"['cat9_img78', 'jpg']",a photography of a woman riding a horse,a woman riding a horse in a pen
"['cat9_img50', 'jpg']",a photography of a man in a gym,a man with a beard and a beard is smiling
"['cat9_img44', 'jpg']",a photography of a volleyball team playing a game,a group of young women playing volleyball on a court
"['cat9_img93', 'jpg']",a photography of a little girl playing with a puzzle,a little girl sitting on the floor in a room
"['cat9_img87', 'jpg']",a photography of a man riding a bike,a man riding a bike down a street
"['cat9_img2', 'jpg']",a photography of swimmers in a swimming pool,a group of swimmers in a pool
"['cat9_img91', 'jpg']",a photography of a soccer game with a crowd watching,a group of men playing soccer on a field
"['cat9_img85', 'jpg']",a photography of a man playing golf,a man in a green shirt swinging a golf club
"['cat9_img52', 'jpg']",a photography of a man playing table tennis,a man in a red shirt is playing table tennis
"['cat9_img46', 'jpg']",a photography of swimmers,a group of people sitting on a diving platform
"['cat9_img47', 'jpg']",a photography of a man playing ping - pong,a man playing ping - pong with a ping - pong ball
"['cat9_img53', 'jpg']",a photography of a wrestling match,a wrestling match with a wrestler in the middle
"['cat9_img84', 'jpg']",a photography of a soccer team,a group of young men standing on a soccer field
"['cat9_img90', 'jpg']",a photography of a football player running with the ball,a football player is diving for a ball
"['cat9_img100', 'jpg']",a photography of a soccer player,a man wearing a blue shirt
"['cat9_img1', 'jpg']",a photography of a basketball player jumping to the basket,a man jumping in the air with a basketball
"['cat9_img34', 'jpg']",a photography of a baseball player throwing a ball,a young baseball player is about to throw the ball
"['cat9_img20', 'jpg']",a photography of a volleyball match,a man in a yellow shirt playing volleyball
"['cat9_img21', 'jpg']",a photography of a man walking on a road,a man is walking on the road with a skateboard
"['cat9_img35', 'jpg']",a photography of a basketball game,a man wearing a red shirt
"['cat9_img23', 'jpg']",a photography of a woman doing yoga on a rock,a woman doing yoga on the rocks
"['cat9_img37', 'jpg']",a photography of a soccer player kicking the ball,a man kicking a soccer ball on a field
"['cat9_img36', 'jpg']",a photography of a group of women soccer players,a group of women in green jerseys
"['cat9_img22', 'jpg']",a photography of a woman climbing a rock,a person climbing a rock on a mountain
"['cat9_img26', 'jpg']",a photography of a woman jumping over a hurdle,a woman jumping over a hurdle hurdle
"['cat9_img32', 'jpg']",a photography of a young boy playing cricket,a boy playing cricket
"['cat9_img33', 'jpg']",a photography of a man climbing a wall,a man climbing on a wall with a helmet
"['cat9_img27', 'jpg']",a photography of a person jumping a bike,a man on a bike jumping off a rock
"['cat9_img31', 'jpg']",a photography of a group of young men in a boxing ring,a group of men standing around a boxing ring
"['cat9_img25', 'jpg']",a photography of a boxing match,a man in a boxing ring
"['cat9_img19', 'jpg']",a photography of a group of women doing yoga,a group of women doing yoga with purple ribbons
"['cat9_img18', 'jpg']",a photography of a football game,a football player running with the ball
"['cat9_img24', 'jpg']",a photography of a motorcycle racing on a track,a motorcycle rider is riding on a track
"['cat9_img30', 'jpg']",a photography of a woman running on a treadmill,a woman running on a treadmill
"['cat9_img29', 'jpg']",a photography of a boxing match in a large arena,a boxing ring with a crowd of people watching
"['cat9_img15', 'jpg']",a photography of two men playing soccer,two men are standing on a soccer field
"['cat9_img14', 'jpg']",a photography of a coach talking to his children,a man sitting on the grass
"['cat9_img28', 'jpg']",a photography of the new football stadium in the city of edmonton,the football stadium in the city of edmonton
"['cat9_img16', 'jpg']",a photography of swimmers in a pool,a group of swimmers in a pool
"['cat9_img17', 'jpg']",a photography of a group of cyclists racing,a group of cyclists
"['cat9_img13', 'jpg']",a photography of a soccer team,a group of young men standing on a soccer field
"['cat9_img12', 'jpg']",a photography of a soccer game,a group of young men playing soccer on a field
"['cat9_img10', 'jpg']",a photography of a soccer game,a man is taking a picture of a soccer game
"['cat9_img38', 'jpg']",a photography of a man in a swimming pool,a man in a wet suit and goggles crouching on a surfboard
"['cat9_img39', 'jpg']",a photography of a group of young people playing soccer,a group of young people playing soccer on a field
"['cat9_img11', 'jpg']",a photography of a man playing tennis,a man in a red shirt is playing tennis
"['cat9_img89', 'jpg']",a photography of two men playing soccer on a field,two men playing soccer on a field
"['cat9_img76', 'jpg']",a photography of a soccer game,a group of young men playing soccer on a field
"['cat9_img62', 'jpg']",a photography of a person riding a dirt bike,a person riding a dirt bike on a dirt track
"['cat9_img63', 'jpg']",a photography of a woman doing yoga on the beach,a woman doing yoga on the beach
"['cat9_img77', 'jpg']",a photography of a rugby game,a group of men playing a game of rugby
"['cat9_img88', 'jpg']",a photography of a baseball player at bat,a baseball player is running to first base
"['cat9_img49', 'jpg']",a photography of a man riding a skateboard down a road,a man riding a skateboard down a street
"['cat9_img61', 'jpg']",a photography of a group of young men playing soccer,a group of people sitting on a field
"['cat9_img75', 'jpg']",a photography of a football player running with the ball,a man running with a football on a field
"['cat9_img74', 'jpg']",a photography of a person riding a motorcycle,a person riding a motorcycle on a track
"['cat9_img60', 'jpg']",a photography of a basketball going through a hoop,a basketball going through a hoop
"['cat9_img48', 'jpg']",a photography of a man playing golf,a man in green shirt and shorts playing golf
"['cat9_img64', 'jpg']",a photography of a man playing soccer on the beach,a man in a blue shirt is playing soccer
"['cat9_img70', 'jpg']",a photography of a boy holding a pair of skis,a young boy holding a pair of skis
"['cat9_img58', 'jpg']",a photography of a man playing golf,a man kneeling on a golf course
"['cat9_img59', 'jpg']",a photography of a man working out in a gym,a man is doing a pull up exercise
"['cat9_img71', 'jpg']",a photography of a man falling off a plane,a man in a helmet is flying through the air
"['cat9_img65', 'jpg']",a photography of a soccer game,a large crowd of people watching a soccer game
"['cat9_img9', 'jpg']",a photography of a man sailing a sail,a man is sailing on a small sail
"['cat9_img98', 'jpg']",a photography of a crowd of runners,a large group of people running in a race
"['cat9_img73', 'jpg']",a photography of a man doing a dead weight exercise,a man is doing a dead weight exercise
"['cat9_img67', 'jpg']",a photography of a soccer player in action,a young man kicking a soccer ball on a field
"['cat9_img66', 'jpg']",a photography of a basketball player in action,a young man in a white uniform holding a basketball
"['cat9_img72', 'jpg']",a photography of a man on a rope,a man is suspended by a crane on the beach
"['cat9_img99', 'jpg']",a photography of a woman doing a barbell exercise,a woman is doing a barbell exercise
"['cat9_img8', 'jpg']",a photography of a football player throwing a ball,a football player is running with the ball
"['cat10_img38', 'jpg']",a photography of a toy figure on a blue background,a toy figure is standing on a wooden base
"['cat10_img10', 'jpg']",a photography of two dolphins in the water,two dolphins in the water
"['cat10_img11', 'jpg']",a photography of the school of athens,the school of athens
"['cat10_img39', 'jpg']",a photography of a woman walking under a bridge,a man walking past a large mural of a face
"['cat10_img13', 'jpg']",a photography of a hand holding an ice cream cone,a hand holding a cone of ice cream
"['cat10_img8', 'jpg']",a photography of a person's hand holding a plastic bag,a person holding a plastic bag on a stool
"['cat10_img9', 'jpg']",a photography of a statue of pope pius,a statue of a man in a robe and hat
"['cat10_img12', 'jpg']",a photography of a mural on a building in the bronx neighborhood of brooklyn,a mural on a building in the city
"['cat10_img16', 'jpg']",a photography of a bird painted on a wall,a mural on a wall
"['cat10_img17', 'jpg']",a photography of a painting of a man,a painting of a horse in a room
"['cat10_img15', 'jpg']",a photography of a bust of a woman with a yellow plastic bag on her head,a white bust of a woman with a yellow plastic bag on her head
"['cat10_img29', 'jpg']",a photography of a painting of a group of people,a painting of many different colored animals
"['cat10_img28', 'jpg']",a photography of a man with glasses on a wall,a painting of a man with glasses on a wall
"['cat10_img14', 'jpg']",a photography of two people in traditional costumes,two people dressed in traditional costumes are dancing
"['cat10_img98', 'jpg']",a photography of origaal paper boats,a group of paper boats on a table
"['cat10_img73', 'jpg']",a photography of a wall with hearts painted on it,a wall with many hearts painted on it
"['cat10_img67', 'jpg']",a photography of a white statue of a woman,a white statue of a woman standing next to a wall
"['cat10_img66', 'jpg']",a photography of a black and white photo of a number of masks,a black and white photo of a bunch of masks
"['cat10_img72', 'jpg']",a photography of a colorful mural on a building,a mural on the side of a building
"['cat10_img99', 'jpg']",a photography of a spiral staircase,a spiral staircase with a glass window
"['cat10_img58', 'jpg']",a photography of a sculpture of a woman,a close up of a building with a very large sculpture
"['cat10_img64', 'jpg']",a photography of colorful textiles,colorful fabric on display at a market in india
"['cat10_img70', 'jpg']",a photography of a woman standing in front of a rainbow - colored wall,a woman standing in front of a rainbow - colored wall
"['cat10_img71', 'jpg']",a photography of a sculpture on the beach,a sculpture on the beach with a blue sky in the background
"['cat10_img65', 'jpg']",a photography of a statue of a man and a woman,a statue of a man with a horse in the dirt
"['cat10_img59', 'jpg']",a photography of abstracted art,a painting of a colorful abstract painting
"['cat10_img61', 'jpg']",a photography of a stained glass window on a building,a stained glass window with a picture of jesus on it
"['cat10_img75', 'jpg']",a photography of a coffee cup on a table,a cup of coffee on a black table
"['cat10_img49', 'jpg']",a photography of a woman standing in front of a wall with a row of heads,a woman standing in front of a wall with statues
"['cat10_img48', 'jpg']",a photography of three ceramic rings on a white surface,three small white ceramic objects on a white surface
"['cat10_img74', 'jpg']",a photography of a man painting a wall,a man painting a wall with yellow paint
"['cat10_img60', 'jpg']",a photography of a statue of jesus,a statue of jesus
"['cat10_img89', 'jpg']",a photography of a person holding a fire,a person is spinning a fire in a circle
"['cat10_img76', 'jpg']",a photography of a young girl with face paint,a woman with face paint and face paint
"['cat10_img62', 'jpg']",a photography of a staircase in a house,a staircase with a hand on the top of it
"['cat10_img63', 'jpg']",a photography of a black and white pattern,a black and white pattern with many different shapes
"['cat10_img77', 'jpg']",a photography of a neon lit room,a room with a neon light on the wall
"['cat10_img88', 'jpg']",a photography of a palette of paint,a tray of paint
"['cat10_img91', 'jpg']",a photography of a man with a black face and gold paint on his face,a man with a black face covered in gold and black paint
"['cat10_img85', 'jpg']",a photography of a colorful abstract background,a painting with a lot of paint on it
"['cat10_img52', 'jpg']",a photography of a sculpture in a park,a tree in the fore of a sculpture
"['cat10_img46', 'jpg']",a photography of a white sculpture of a dog,a white sculpture of a dog
"['cat10_img47', 'jpg']",a photography of a woman looking at a painting,a woman looking at a painting on a wall
"['cat10_img53', 'jpg']",a photography of a colorfully painted elephant,a colorfully painted elephant on a blue platform
"['cat10_img84', 'jpg']",a photography of a circular stained glass window,a circular stained glass window
"['cat10_img90', 'jpg']",a photography of a skyscraper building in the snow,a city with skyscrapers and snow falling from the sky
"['cat10_img86', 'jpg']",a photography of a sticker of a comic book,a sticker with a comic style word
"['cat10_img92', 'jpg']",a photography of balloons floating in the air,a bunch of balloons
"['cat10_img79', 'jpg']",a photography of a cat with a blue and yellow paint on it's face,a cat with a tooth in its mouth
"['cat10_img45', 'jpg']",a photography of a man on a shelf,a black and white photo of a shelf with a clock
"['cat10_img51', 'jpg']",a photography of a pair of hands on a red background,a white hand on a red background
"['cat10_img50', 'jpg']",a photography of a glass sculpture on display,a glass sculpture on display in a room
"['cat10_img44', 'jpg']",a photography of a horse with a paint spied on it,a horse painted with a lot of paint
"['cat10_img78', 'jpg']",a photography of a large building with a large mural on it,a large building with a lot of graffiti on it
"['cat10_img93', 'jpg']",a photography of a person's eye through a hole in a wooden wall,a person's eye is seen through a hole in a wall
"['cat10_img87', 'jpg']",a photography of a clock on a black background,a clock drawn on a blackboard
"['cat10_img83', 'jpg']",a photography of a flower arrangement and a statue,a white table cloth
"['cat10_img97', 'jpg']",a photography of a flower arrangement on a wooden table,a wooden table with a candle and flowers on it
"['cat10_img40', 'jpg']",a photography of a sculpture of a lion wearing a mask,a sculpture of a lion wearing a black mask
"['cat10_img54', 'jpg']",a photography of a path in the woods,a path with paintings on it
"['cat10_img68', 'jpg']",a photography of a room with marble statues,a room with a lot of statues in it
"['cat10_img69', 'jpg']",a photography of a woman with powder on her hands,a woman is holding a piece of cake in her hands
"['cat10_img55', 'jpg']",a photography of hands of people covered in white paint,a large group of hands are covered in white paint
"['cat10_img41', 'jpg']",a photography of the columns of the temple of karnam,a large column with paintings on it
"['cat10_img96', 'jpg']",a photography of a woman with purple smoke,a woman with purple smoke on her face
"['cat10_img82', 'jpg']",a photography of a woman sitting on a chair,a woman sitting on a chair in a room
"['cat10_img94', 'jpg']",a photography of a man in a colorful suit,a man in a colorful suit is standing on a wall
"['cat10_img80', 'jpg']",a photography of a painting on a ease,a chair with a painting on it
"['cat10_img57', 'jpg']",a photography of a face on a wall,a face is seen in the wall of a building
"['cat10_img43', 'jpg']",a photography of a red and blue abstract painting,a red and blue painting with a lot of paint
"['cat10_img42', 'jpg']",a photography of a woman holding a baby,a woman sitting on a stool holding a baby
"['cat10_img56', 'jpg']",a photography of green paint,a close up of a green leaf
"['cat10_img81', 'jpg']",a photography of a wooden carving of a man,a wooden sculpture of a man with a beard
"['cat10_img95', 'jpg']",a photography of a ceiling light,a black and white photo of a light fixture
"['cat10_img19', 'jpg']",a photography of a painting,a painting with blue and yellow paint
"['cat10_img31', 'jpg']",a photography of a buddha statue in a park,a statue of a buddha sitting on top of a stone
"['cat10_img25', 'jpg']",a photography of a spiral staircase,a spiral staircase with a clock on the top
"['cat10_img2', 'jpg']",a photography of a woman sitting in a tree,a painting of a woman sitting on a bench
"['cat10_img3', 'jpg']",a photography of a woman sitting on a bench in front of paintings,a woman sitting on a bench
"['cat10_img24', 'jpg']",a photography of a small tool on a bright orange background,a small metal object on a bright orange background
"['cat10_img30', 'jpg']",a photography of a dog on a wall,a dog is painted on a wall with a cage
"['cat10_img18', 'jpg']",a photography of a stained glass window of the nat scene,stained glass window with a nat scene
"['cat10_img26', 'jpg']",a photography of a man wearing a mask,a man wearing a mask standing in front of a wall
"['cat10_img32', 'jpg']",a photography of a statue of a man with a bird on his head,a statue of a man with a bird on his head
"['cat10_img1', 'jpg']",a photography of a painting of a blue and green abstract painting,a painting of a blue and green abstract painting
"['cat10_img100', 'jpg']",a photography of a paper crane hanging from a string,a black origaal bird hanging from a string
"['cat10_img33', 'jpg']",a photography of a statue of a man with a monkey on his shoulder,a statue of a man with a hat on
"['cat10_img27', 'jpg']",a photography of rain drops on a window,rain drops on a window with blurred lights in the background
"['cat10_img23', 'jpg']",a photography of a statue of a horse,a statue of a horse with a long mane
"['cat10_img37', 'jpg']",a photography of a statue of a man holding a book,a statue of a man holding a book
"['cat10_img4', 'jpg']",a photography of two red masks in a garden,two red masks sitting in the grass
"['cat10_img5', 'jpg']",a photography of a sculpture of a man wearing a mask,a white statue with a black mask on it
"['cat10_img36', 'jpg']",a photography of a statue of a man,a statue of a man with a crown on his head
"['cat10_img22', 'jpg']",a photography of a watercolor painting of a beach,watercolor waves clipart watercolor waves clipart
"['cat10_img34', 'jpg']",a photography of a pile of white masks,a pile of white masks with holes in them
"['cat10_img20', 'jpg']",a photography of a woman standing in front of a statue,a woman standing next to a statue of a man
"['cat10_img7', 'jpg']",a photography of a woman with red hair and a white mask,a woman sitting next to a sculpture of a man
"['cat10_img6', 'jpg']",a photography of a statue in a park,a statue of a woman holding a bird
"['cat10_img21', 'jpg']",a photography of a hand holding a pen and drawing a flower design,a person drawing with a pencil on a piece of paper
"['cat10_img35', 'jpg']",a photography of a couple standing on a statue,a statue of two people standing on top of a building
"['cat2_img62', 'jpeg']",a photography of a geyser in yellowstone national park,a large geyser in the middle of a field
"['cat2_img35', 'jpeg']",a photography of a path in the mountains,a road with trees and a foggy sky
"['cat2_img23', 'jpeg']",a photography of a deer in the mist,a deer standing in the middle of a forest
"['cat2_img74', 'jpeg']",a photography of two people kaying in the virgins of zion,two people kaying down the virgin river
"['cat2_img58', 'jpeg']",a photography of a turtle on the reef,a turtle swimming in the ocean
"['cat2_img3', 'jpeg']",a photography of a rainforest in costa,a sunbeam in the rainforest
"['cat2_img19', 'jpeg']","a photography of a lavender field in provence, france","lavender field in provence, france"
